,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,spend_per_capita_GBP,pct_budget_utilised,funding_source
SP-0001,LA001,Derby City Council,East Midlands,2020,Roads & Transport,37998268,29811400,-8186868,113.49,78.5,Private Finance Initiative
SP-0002,LA001,Derby City Council,East Midlands,2023,Roads & Transport,2530547,2295000,,8.74,90.7,EU Structural Funds
SP-0003,LA001,Derby City Council,East midlands,2023,Housing & Planning,27867694,"£30,680,400",,116.8,110.1,Combined Authority
SP-0004,LA001,Derby City Council,East Midlands,2022,Flood & Drainage,"£22,323,687","£21,555,600",-768087,82.06,96.6,Private Finance Initiative
SP-0005,LA001,Derby City Council,East Midlands,2023,Flood & Drainage,"£12,160,837",14702600,2541763,,120.9,Central Government Grant
SP-0006,LA001,Derby City Council,East midlands,2019,Parks & Green Spaces,30306885,36435600,6128715,138.71,,Central Government Grant
SP-0007,LA001,Derby City Council,EAST MIDLANDS,2020,Parks & Green Spaces,2953723,,-209323,10.45,92.9,Levelling Up Fund
SP-0008,LA001,Derby City Council,East Midlands ,2019,Waste Management,23337995,,7660405,118.01,,Private Finance Initiative
SP-0009,LA001,Derby City Council,East Midlands,2020,Digital Infrastructure,5947658,7518600,1570942,28.62,126.4,Private Finance Initiative
SP-0010,LA001,Derby City Council,East Midlands,2019,Energy & Utilities,41498189,"£53,974,400",12476211,205.48,130.1,Central Government Grant
SP-0011,LA001,Derby City Council,East Midlands,2023,Energy & Utilities,12436409,,2309691,56.14,118.6,EU Structural Funds
SP-0012,LA002,Nottingham City Council,East Midlands ,2020,Roads & Transport,"£38,298,289",29035200,-9263089,88.2,75.8,Combined Authority
SP-0013,LA002,Nottingham City Council,East Midlands,2023,Housing & Planning,17155626,15355900,-1799726,46.65,89.5,Mixed Funding
SP-0014,LA002,Nottingham City Council,East midlands,2019,Housing & Planning,"£28,928,003",19187900,-9740103,58.29,66.3,City Deal
SP-0015,LA002,Nottingham City Council,East Midlands,2020,Flood & Drainage,44342829,51846400,7503571,157.49,116.9,City Deal
SP-0016,LA002,Nottingham City Council,EAST MIDLANDS,2019,Flood & Drainage,16758493,18977300,2218807,57.65,,Levelling Up Fund
SP-0017,LA002,Nottingham City Council,East Midlands ,2023,Parks & Green Spaces,"£16,828,574",15625900,,47.47,92.9,Mixed Funding
SP-0018,LA002,Nottingham City Council,East Midlands,2023,Waste Management,25764154,,-2591154,70.39,,City Deal
SP-0019,LA002,Nottingham City Council,East Midlands,2022,Digital Infrastructure,28931684,"£26,561,700",-2369984,80.69,,City Deal
SP-0020,LA002,Nottingham City Council,East Midlands,2019,Energy & Utilities,23862823,16785500,-7077323,,70.3,Combined Authority
SP-0021,LA003,Leicester City Council,East Midlands,2021,Roads & Transport,44084829,49058300,,133.1,111.3,City Deal
SP-0022,LA003,Leicester City Council,East Midlands,2021,Housing & Planning,3641570,4306700,665130,11.68,118.3,Combined Authority
SP-0023,LA003,Leicester City Council,East Midlands,2022,Flood & Drainage,21906576,20913200,-993376,56.74,95.5,Central Government Grant
SP-0024,LA003,Leicester City Council,East Midlands,2019,Flood & Drainage,38854321,"£34,073,200",-4781121,92.44,87.7,Levelling Up Fund
SP-0025,LA003,Leicester City Council,East Midlands,2023,Parks & Green Spaces,18296947,17715400,-581547,48.06,96.8,Central Government Grant
SP-0026,LA003,Leicester City Council,East Midlands,2020,Waste Management,4413639,"£4,354,800",-58839,11.82,98.7,City Deal
SP-0027,LA003,Leicester City Council,East Midlands,2020,Digital Infrastructure,20651705,"£23,379,400",2727695,63.43,113.2,Central Government Grant
SP-0028,LA003,Leicester City Council,East Midlands,2019,Energy & Utilities,25012132,,5744668,83.45,123,Combined Authority
SP-0029,LA004,Northampton Borough Council,East Midlands,2020,Roads & Transport,24105706,18840100,,83.51,78.2,Mixed Funding
SP-0030,LA004,Northampton Borough Council,East Midlands,2023,Roads & Transport,32432475,32571800,139325,144.38,100.4,EU Structural Funds
SP-0031,LA004,Northampton Borough Council,East Midlands,2019,Housing & Planning,1050490,1061800,11310,4.71,101.1,Levelling Up Fund
SP-0032,LA004,Northampton Borough Council,East Midlands,2020,Flood & Drainage,15666937,10772600,-4894337,47.75,68.8,EU Structural Funds
SP-0033,LA004,Northampton Borough Council,East Midlands,2023,Parks & Green Spaces,23175518,19693000,-3482518,87.29,85,EU Structural Funds
SP-0034,LA004,Northampton Borough Council,East Midlands,2019,Waste Management,19074332,17765900,,78.75,93.1,Levelling Up Fund
SP-0035,LA004,Northampton Borough Council,East Midlands,2022,Waste Management,30112712,"£39,726,400",9613688,176.09,131.9,Combined Authority
SP-0036,LA004,Northampton Borough Council,East Midlands,2022,Digital Infrastructure,8658703,10502600,1843897,46.55,121.3,Mixed Funding
SP-0037,LA004,Northampton Borough Council,East Midlands,2019,Energy & Utilities,18999499,13279000,-5720499,58.86,69.9,EU Structural Funds
SP-0038,LA004,Northampton Borough Council,East Midlands,2020,Energy & Utilities,39590803,49834300,10243497,220.9,125.9,Local Authority Budget
