spend_id,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,pct_budget_utilised,spend_per_capita_GBP,funding_source
SP-0001,LA001,Derby City Council,East Midlands,2020,Roads & Transport,37998268,29811400,-8186868,78.5,113.49,Private Finance Initiative
SP-0002,LA001,Derby City Council,East Midlands,2023,Roads & Transport,2530547,2295000,-235547,90.7,8.74,EU Structural Funds
SP-0003,LA001,Derby City Council,East Midlands,2023,Housing & Planning,27867694,30680400,2812706,110.1,116.8,Combined Authority
SP-0004,LA001,Derby City Council,East Midlands,2022,Flood & Drainage,22323687,21555600,-768087,96.6,82.06,Private Finance Initiative
SP-0005,LA001,Derby City Council,East Midlands,2023,Flood & Drainage,12160837,14702600,2541763,120.9,55.97,Central Government Grant
SP-0006,LA001,Derby City Council,East Midlands,2019,Parks & Green Spaces,30306885,36435600,6128715,120.2,138.71,Central Government Grant
SP-0007,LA001,Derby City Council,East Midlands,2020,Parks & Green Spaces,2953723,2744400,-209323,92.9,10.45,Levelling Up Fund
SP-0008,LA001,Derby City Council,East Midlands,2019,Waste Management,23337995,30998400,7660405,132.8,118.01,Private Finance Initiative
SP-0009,LA001,Derby City Council,East Midlands,2020,Digital Infrastructure,5947658,7518600,1570942,126.4,28.62,Private Finance Initiative
SP-0010,LA001,Derby City Council,East Midlands,2019,Energy & Utilities,41498189,53974400,12476211,130.1,205.48,Central Government Grant
SP-0011,LA001,Derby City Council,East Midlands,2023,Energy & Utilities,12436409,14746100,2309691,118.6,56.14,EU Structural Funds
SP-0012,LA002,Nottingham City Council,East Midlands,2020,Roads & Transport,38298289,29035200,-9263089,75.8,88.2,Combined Authority
SP-0013,LA002,Nottingham City Council,East Midlands,2023,Housing & Planning,17155626,15355900,-1799726,89.5,46.65,Mixed Funding
SP-0014,LA002,Nottingham City Council,East Midlands,2019,Housing & Planning,28928003,19187900,-9740103,66.3,58.29,City Deal
SP-0015,LA002,Nottingham City Council,East Midlands,2020,Flood & Drainage,44342829,51846400,7503571,116.9,157.49,City Deal
SP-0016,LA002,Nottingham City Council,East Midlands,2019,Flood & Drainage,16758493,18977300,2218807,113.2,57.65,Levelling Up Fund
SP-0017,LA002,Nottingham City Council,East Midlands,2023,Parks & Green Spaces,16828574,15625900,-1202674,92.9,47.47,Mixed Funding
SP-0018,LA002,Nottingham City Council,East Midlands,2023,Waste Management,25764154,23173000,-2591154,89.9,70.39,City Deal
SP-0019,LA002,Nottingham City Council,East Midlands,2022,Digital Infrastructure,28931684,26561700,-2369984,91.8,80.69,City Deal
SP-0020,LA002,Nottingham City Council,East Midlands,2019,Energy & Utilities,23862823,16785500,-7077323,70.3,50.99,Combined Authority
SP-0070,LA008,Kettering Borough Council,East Midlands,2021,Roads & Transport,32940299,43009800,10069501,130.6,415.96,EU Structural Funds
SP-0071,LA008,Kettering Borough Council,East Midlands,2019,Roads & Transport,3579492,3622000,42508,101.2,35.03,EU Structural Funds
SP-0072,LA008,Kettering Borough Council,East Midlands,2021,Housing & Planning,25052774,20621600,-4431174,82.3,199.44,Combined Authority
SP-0073,LA008,Kettering Borough Council,East Midlands,2019,Flood & Drainage,26635889,22510200,-4125689,84.5,217.7,Levelling Up Fund
SP-0074,LA008,Kettering Borough Council,East Midlands,2019,Parks & Green Spaces,8693672,10911500,2217828,125.5,105.53,Levelling Up Fund
SP-0075,LA008,Kettering Borough Council,East Midlands,2022,Waste Management,11166623,12754800,1588177,114.2,123.35,Private Finance Initiative
SP-0076,LA008,Kettering Borough Council,East Midlands,2020,Waste Management,44012019,54367200,10355181,123.5,525.79,Central Government Grant
SP-0077,LA008,Kettering Borough Council,East Midlands,2022,Digital Infrastructure,29128815,23106300,-6022515,79.3,223.47,Combined Authority
SP-0078,LA008,Kettering Borough Council,East Midlands,2023,Energy & Utilities,26152928,30278700,4125772,115.8,292.83,Local Authority Budget
SP-0079,LA009,Wellingborough Borough Council,East Midlands,2022,Roads & Transport,38694001,29317500,-9376501,75.8,359.72,Mixed Funding
SP-0080,LA009,Wellingborough Borough Council,East Midlands,2023,Roads & Transport,2050939,1995600,-55339,97.3,24.49,Mixed Funding
SP-0081,LA009,Wellingborough Borough Council,East Midlands,2023,Housing & Planning,14538033,11198900,-3339133,77,137.41,Local Authority Budget
SP-0082,LA009,Wellingborough Borough Council,East Midlands,2021,Housing & Planning,37019819,43924900,6905081,118.7,538.96,Local Authority Budget
SP-0083,LA009,Wellingborough Borough Council,East Midlands,2023,Flood & Drainage,11304972,10892300,-412672,96.3,133.65,Levelling Up Fund
SP-0084,LA009,Wellingborough Borough Council,East Midlands,2021,Parks & Green Spaces,36643162,45353700,8710538,123.8,556.49,Central Government Grant
SP-0085,LA009,Wellingborough Borough Council,East Midlands,2019,Parks & Green Spaces,20321413,23555400,3233987,115.9,289.02,City Deal
SP-0086,LA009,Wellingborough Borough Council,East Midlands,2022,Waste Management,7904370,8244900,340530,104.3,101.16,Levelling Up Fund
SP-0087,LA009,Wellingborough Borough Council,East Midlands,2021,Waste Management,44285145,51128100,6842955,115.5,627.34,Combined Authority
SP-0088,LA009,Wellingborough Borough Council,East Midlands,2020,Digital Infrastructure,2849432,2399100,-450332,84.2,29.44,City Deal
SP-0089,LA009,Wellingborough Borough Council,East Midlands,2023,Energy & Utilities,21954013,20669800,-1284213,94.2,253.62,Mixed Funding
SP-0090,LA009,Wellingborough Borough Council,East Midlands,2021,Energy & Utilities,38961928,35480200,-3481728,91.1,435.34,City Deal
SP-0091,LA010,Hinckley and Bosworth Borough Council,East Midlands,2021,Roads & Transport,39349227,36888000,-2461227,93.7,329.36,Mixed Funding
SP-0092,LA010,Hinckley and Bosworth Borough Council,East Midlands,2021,Housing & Planning,18279582,23069600,4790018,126.2,205.98,EU Structural Funds
SP-0093,LA010,Hinckley and Bosworth Borough Council,East Midlands,2019,Housing & Planning,43478833,35127800,-8351033,80.8,313.64,Levelling Up Fund
SP-0094,LA010,Hinckley and Bosworth Borough Council,East Midlands,2022,Flood & Drainage,33417111,22418400,-10998711,67.1,200.16,EU Structural Funds
SP-0095,LA010,Hinckley and Bosworth Borough Council,East Midlands,2020,Parks & Green Spaces,4743085,5888600,1145515,124.2,52.58,Local Authority Budget
SP-0096,LA010,Hinckley and Bosworth Borough Council,East Midlands,2019,Waste Management,17325928,11479600,-5846328,66.3,102.5,Local Authority Budget
SP-0097,LA010,Hinckley and Bosworth Borough Council,East Midlands,2021,Digital Infrastructure,40221693,28380600,-11841093,70.6,253.4,City Deal
SP-0098,LA010,Hinckley and Bosworth Borough Council,East Midlands,2019,Energy & Utilities,11208940,12183800,974860,108.7,108.78,Private Finance Initiative
SP-0106,LA012,Melton Borough Council,East Midlands,2021,Roads & Transport,15418880,14598500,-820380,94.7,285.13,Combined Authority
SP-0107,LA012,Melton Borough Council,East Midlands,2022,Roads & Transport,42268588,31562900,-10705688,74.7,616.46,Central Government Grant
SP-0108,LA012,Melton Borough Council,East Midlands,2019,Housing & Planning,24224030,23388700,-835330,96.6,456.81,Mixed Funding
